"taxon"	"Número de pétalas "	"Inserção das folhas"	"Cores principais da flor/inflorescência"	"Espinescência"	"Porte"	"Consistência do fruto"	"Simetria do perianto"
"Romulea bulbocodium"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores roxas, violetas ou lilases,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Romulea clusiana"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Romulea columnae subsp. columnae"	"Flores com 6 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Romulea ramiflora subsp. gaditana"	"Flores com 6 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Romulea ramiflora subsp. ramiflora"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores roxas, violetas ou lilases,Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Romulea ramiflora"	"Flores com 6 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Isoetes durieui"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Isoetes histrix"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Isoetes setaceum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Isoetes velatum subsp. velatum"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Juncus acutiflorus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus acutus subsp. acutus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus articulatus subsp. articulatus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus bufonius"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus bulbosus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus capitatus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus compressus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus conglomeratus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus effusus subsp. effusus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus emmanuelis"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus foliosus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus fontanesii subsp. fontanesii"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus gerardii subsp. gerardii"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus heterophyllus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus hybridus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus inflexus subsp. inflexus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos,Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus maritimus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus minutulus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus pygmaeus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus ranarius"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus rugosus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus sorrentinii"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus sphaerocarpus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus squarrosus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus striatus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus subnodulosus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus subulatus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Juncus tenageia subsp. perpusillus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus tenageia subsp. tenageia"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus tenageia"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Juncus valvatus var. valvatus"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Luzula caespitosa"	"Flores com 6 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Luzula campestris"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Luzula forsteri"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Luzula lactea"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Luzula multiflora subsp. multiflora"	"Flores com 6 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Luzula sylvatica subsp. henriquesii"	"Flores com 6 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Triglochin barrelieri"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Triglochin laxiflorum"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Triglochin maritimum"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Triglochin palustre"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Triglochin striatum"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Acinos alpinus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Ajuga chamaepitys"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Ajuga iva var. pseudoiva"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Ajuga iva var. iva"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Ajuga iva"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores rosa,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Ajuga pyramidalis subsp. meonantha"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Ajuga pyramidalis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Ajuga reptans"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Ballota hirsuta"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Ballota nigra subsp. foetida"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Ballota nigra subsp. nigra"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Ballota nigra"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Ballota nigra subsp. uncinata"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Calamintha nepeta subsp. nepeta"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Cleonia lusitanica"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Clinopodium vulgare"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Galeopsis tetrahit subsp. tetrahit"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores roxas, violetas ou lilases,Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Glechoma hederacea"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Lamium amplexicaule"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Lamium bifidum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Lamium gevorense"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Lamium hybridum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa,Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Lamium maculatum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Lamium purpureum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Lavandula multifida"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Lavandula pedunculata subsp. pedunculata"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Lavandula stoechas subsp. luisieri"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Lavandula stoechas subsp. stoechas"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Lavandula stoechas"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Lavandula viridis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Lycopus europaeus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Marrubium vulgare"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Melissa officinalis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Melittis melissophyllum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Mentha aquatica"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Mentha cervina"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores creme ou amarelo-limão"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Mentha longifolia"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Mentha pulegium"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Mentha suaveolens"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Micromeria graeca subsp. graeca"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Nepeta caerulea"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases,Flores azuis"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Nepeta cataria"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Nepeta multibracteata"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Nepeta tuberosa subsp. tuberosa"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Origanum vulgare subsp. virens"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Phlomis herba-venti subsp. herba-venti"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Phlomis lychnitis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Phlomis purpurea"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Prasium majus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Prunella grandiflora"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Prunella laciniata"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Prunella vulgaris"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Rosmarinus officinalis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Salvia aethiopis"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Salvia argentea"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Salvia sclarea"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Salvia sclareoides"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Salvia verbenaca"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Salvia viridis"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Scutellaria galericulata"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores azuis"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Scutellaria minor"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Sideritis arborescens subsp. lusitanica"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Sideritis hirsuta"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Sideritis hyssopifolia"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Sideritis montserratiana"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Sideritis romana"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Stachys arvensis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Stachys germanica"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Stachys ocymastrum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Stachys officinalis var. algeriensis"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Stachys officinalis var. officinalis"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Stachys officinalis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores rosa"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Stachys palustris"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Stachys sylvatica"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Teucrium algarbiense"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Teucrium capitatum subsp. capitatum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Teucrium chamaedrys"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Teucrium dunense"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Teucrium fruticans"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Teucrium gnaphalodes"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Teucrium haenseleri"	"Flores com 5 pétalas"	"Folhas verticiladas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Teucrium lusitanicum subsp. lusitanicum"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Teucrium pseudochamaepitys"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Teucrium pseudoscorodonia"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Teucrium salviastrum"	"Flores com 5 pétalas"	"Folhas opostas,Folhas verticiladas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Teucrium scordium subsp. scordium"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa,Flores roxas, violetas ou lilases,Flores creme ou amarelo-limão"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Teucrium scorodonia"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Teucrium spinosum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores creme ou amarelo-limão"	"Ramos terminados em espinho"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Teucrium vicentinum"	"Flores com 5 pétalas"	"Folhas opostas,Folhas verticiladas"	"Flores brancas,Flores creme ou amarelo-limão"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Thymbra capitata"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa,Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus albicans"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus caespititius"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa,Flores roxas, violetas ou lilases"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus camphoratus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas,Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus capitellatus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus carnosus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus lotocephalus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus mastichina subsp. mastichina"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus mastichina subsp. donyanae"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus mastichina"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus praecox subsp. britanicus"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Thymus pulegioides"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Thymus villosus subsp. villosus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus villosus subsp. lusitanicus"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Thymus villosus"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus zygis subsp. sylvestris"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus zygis subsp. zygis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Thymus zygis"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores brancas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria bilateral"
"Laurus nobilis"	"Flores com 4 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Árvore"	"Fruto carnudo"	"Simetria radial"
