"taxon"	"Número de pétalas "	"Inserção das folhas"	"Cores principais da flor/inflorescência"	"Espinescência"	"Porte"	"Consistência do fruto"	"Simetria do perianto"
"Betula pubescens"	"Flores sem perianto"		"NA"	"Sem espinhos"	"Árvore"	"Fruto seco"	"NA"
"Corylus avellana"	"Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Árvore"	"Fruto seco"	"NA"
"Blechnum spicant subsp. spicant"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Woodwardia radicans"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Ajuga pyramidalis subsp. pyramidalis"	"Flores com 5 pétalas"	"Folhas opostas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Anchusa arvensis subsp. arvensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anchusa calcarea subsp. calcarea"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anchusa azurea"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anchusa undulata subsp. granatensis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anchusa undulata subsp. undulata"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Anchusa undulata"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Borago officinalis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Buglossoides arvensis subsp. occidentalis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cerinthe gymnandra"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cerinthe major"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cynoglossum cheirifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases,Flores rosa,Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cynoglossum clandestinum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cynoglossum creticum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Echium boissieri"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Echium creticum subsp. coincyanum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Echium gaditanum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases,Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Echium lusitanicum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases,Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Echium plantagineum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Echium rosulatum subsp. davaei"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Echium rosulatum subsp. rosulatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Echium rosulatum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Echium salmanticum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Echium tuberculatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases,Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Echium vulgare subsp. vulgare"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Echium vulgare subsp. pustulatum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Echium vulgare"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Heliotropium curassavicum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Heliotropium europaeum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Heliotropium supinum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Lithodora prostrata subsp. lusitanica"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Lithodora prostrata subsp. prostrata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Lithodora prostrata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Lithospermum officinale"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Myosotis arvensis subsp. arvensis"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis balbisiana"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis debilis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis discolor subsp. discolor"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis discolor subsp. dubia"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis discolor"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas,Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis laxa subsp. caespitosa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis persoonii"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis ramosissima subsp. globularis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis ramosissima subsp. ramosissima"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis ramosissima"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis secunda"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis stolonifera"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis stricta"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myosotis welwitschii"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Neatostema apulum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Nonea vesicaria"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Omphalodes kuzinskyanae"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Omphalodes linifolia"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Omphalodes nitida"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pentaglottis sempervirens"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores azuis"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pulmonaria longifolia"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases,Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Alliaria petiolata"	"Flores com 4 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Alyssum alyssoides"	"Flores com 4 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Alyssum granatense"	"Flores com 4 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
